NCO_2015_Code,NCO_2004_Code,NCO_Job_Title,ONET_Code,ONET_Job_Title,Match_Score,LM_AIOE_Raw,AI_Automatability,AI_Exposure_Category,Match_Type
6111.0901,,Banana Farmer,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6111.1001,,Mango Grower,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1101,,Citrus Fruit Grower,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.12,6112.2,Viniculturist,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6111.13,6111.3,"Cultivator, Vegetables",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1401,,Bulb Crop Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1501,,Solanaceous Crop Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1601,,Tuber Crop Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1801,,Chillies Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.1901,,Coriander Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.2,6111.5,"Fieldman, Agriculture",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6111.99,6111.9,"Field Crop and Vegetable Growers, Other",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
